"","carID","source","sourceTime","target","targetTime","type","value"
"81","20151820091811-842",0,"2015-09-20 06:31:49",8,"2015-09-20 06:18:11","3",1
"82","20151820091811-842",8,"2015-09-20 06:44:23",13,"2015-09-20 06:31:49","3",1
"83","20151820091811-842",13,"2015-09-21 14:21:16",13,"2015-09-20 06:44:23","3",1
"84","20151820091811-842",13,"2015-09-21 14:31:23",7,"2015-09-21 14:21:16","3",1
"85","20152712032736-635",10,"2015-10-12 00:45:30",6,"2015-10-12 00:27:36","1",1
"86","20153118013100-425",10,"2015-07-18 10:44:08",21,"2015-07-18 10:31:00","2",1
"87","20153118013100-425",21,"2015-07-18 10:52:28",23,"2015-07-18 10:44:08","2",1
"88","20153118013100-425",23,"2015-07-21 17:34:31",23,"2015-07-18 10:52:28","2",1
"89","20153118013100-425",23,"2015-07-21 17:42:46",21,"2015-07-21 17:34:31","2",1
"90","20153118013100-425",21,"2015-07-21 17:55:57",10,"2015-07-21 17:42:46","2",1
"91","20163325043334-711",6,"2016-03-25 13:43:57",5,"2016-03-25 13:33:34","1",1
"92","20163325043334-711",5,"2016-03-25 13:55:59",4,"2016-03-25 13:43:57","1",1
"93","20163325043334-711",4,"2016-03-25 13:59:21",3,"2016-03-25 13:55:59","1",1
"94","20163325043334-711",3,"2016-03-25 14:02:31",2,"2016-03-25 13:59:21","1",1
"95","20163325043334-711",2,"2016-03-25 14:05:14",1,"2016-03-25 14:02:31","1",1
"96","20163325043334-711",1,"2016-03-25 14:06:51",27,"2016-03-25 14:05:14","1",1
"97","20153203033255-977",0,"2015-05-03 12:46:30",8,"2015-05-03 12:32:55","1",1
"98","20153203033255-977",8,"2015-05-03 12:55:27",33,"2015-05-03 12:46:30","1",1
"99","20153203033255-977",33,"2015-05-05 17:53:07",33,"2015-05-03 12:55:27","1",1
"100","20153203033255-977",33,"2015-05-05 18:01:59",8,"2015-05-05 17:53:07","1",1
"101","20153203033255-977",8,"2015-05-05 18:08:26",9,"2015-05-05 18:01:59","1",1
"102","20153203033255-977",9,"2015-05-05 18:18:39",1,"2015-05-05 18:08:26","1",1
"103","20153203033255-977",1,"2015-05-05 18:21:04",2,"2015-05-05 18:18:39","1",1
"104","20153203033255-977",2,"2015-05-05 18:23:50",3,"2015-05-05 18:21:04","1",1
"105","20153203033255-977",3,"2015-05-05 18:26:45",4,"2015-05-05 18:23:50","1",1
"106","20153203033255-977",4,"2015-05-05 18:37:19",5,"2015-05-05 18:26:45","1",1
"107","20153203033255-977",5,"2015-05-05 18:46:31",6,"2015-05-05 18:37:19","1",1
"108","20150406070417-93",0,"2015-06-06 04:19:28",8,"2015-06-06 04:04:17","3",1
"109","20150406070417-93",8,"2015-06-06 04:32:53",7,"2015-06-06 04:19:28","3",1
"110","20153606063650-287",14,"2015-12-06 03:38:16",15,"2015-12-06 03:36:50","2P",1
"111","20153606063650-287",15,"2015-12-06 03:47:37",5,"2015-12-06 03:38:16","2P",1
"112","20153606063650-287",5,"2015-12-06 03:58:31",4,"2015-12-06 03:47:37","2P",1
"113","20153606063650-287",4,"2015-12-06 04:01:34",3,"2015-12-06 03:58:31","2P",1
"114","20153606063650-287",3,"2015-12-06 04:41:36",3,"2015-12-06 04:01:34","2P",1
"115","20153606063650-287",3,"2015-12-06 04:44:34",4,"2015-12-06 04:41:36","2P",1
"116","20153606063650-287",4,"2015-12-06 04:55:29",5,"2015-12-06 04:44:34","2P",1
"117","20153606063650-287",5,"2015-12-06 05:04:47",15,"2015-12-06 04:55:29","2P",1
"118","20153606063650-287",15,"2015-12-06 05:06:15",14,"2015-12-06 05:04:47","2P",1
"119","20150310050337-557",27,"2015-08-10 14:18:18",9,"2015-08-10 14:03:37","1",1
"120","20150310050337-557",9,"2015-08-10 14:26:33",8,"2015-08-10 14:18:18","1",1
"121","20150310050337-557",8,"2015-08-10 14:42:33",13,"2015-08-10 14:26:33","1",1
"122","20150310050337-557",13,"2015-08-11 13:47:46",13,"2015-08-10 14:42:33","1",1
"123","20150310050337-557",13,"2015-08-11 14:03:39",8,"2015-08-11 13:47:46","1",1
"124","20150310050337-557",8,"2015-08-11 14:11:54",9,"2015-08-11 14:03:39","1",1
"125","20150310050337-557",9,"2015-08-11 14:25:01",1,"2015-08-11 14:11:54","1",1
"126","20150310050337-557",1,"2015-08-11 14:28:05",2,"2015-08-11 14:25:01","1",1
"127","20150310050337-557",2,"2015-08-11 14:31:39",3,"2015-08-11 14:28:05","1",1
"128","20150310050337-557",3,"2015-08-11 14:35:25",4,"2015-08-11 14:31:39","1",1
"129","20150310050337-557",4,"2015-08-11 14:58:51",10,"2015-08-11 14:35:25","1",1
"130","20150230110247-212",0,"2015-09-30 08:17:18",8,"2015-09-30 08:02:47","3",1
"131","20150230110247-212",8,"2015-09-30 08:30:45",13,"2015-09-30 08:17:18","3",1
"132","20150230110247-212",13,"2015-10-03 09:59:21",13,"2015-09-30 08:30:45","3",1
"133","20150230110247-212",13,"2015-10-03 10:12:43",8,"2015-10-03 09:59:21","3",1
"134","20150230110247-212",8,"2015-10-03 10:19:39",9,"2015-10-03 10:12:43","3",1
"135","20150230110247-212",9,"2015-10-03 10:30:38",1,"2015-10-03 10:19:39","3",1
"136","20150230110247-212",1,"2015-10-03 10:33:12",2,"2015-10-03 10:30:38","3",1
"137","20150230110247-212",2,"2015-10-03 10:36:11",3,"2015-10-03 10:33:12","3",1
"138","20150230110247-212",3,"2015-10-03 10:39:20",4,"2015-10-03 10:36:11","3",1
"139","20150230110247-212",4,"2015-10-03 10:58:59",10,"2015-10-03 10:39:20","3",1
"140","20163317083303-679",14,"2016-03-17 05:34:40",15,"2016-03-17 05:33:03","2P",1
"141","20163317083303-679",15,"2016-03-17 05:40:02",25,"2016-03-17 05:34:40","2P",1
"142","20163317083303-679",25,"2016-03-17 05:41:06",26,"2016-03-17 05:40:02","2P",1
"143","20163317083303-679",26,"2016-03-17 05:42:14",30,"2016-03-17 05:41:06","2P",1
"144","20163317083303-679",30,"2016-03-17 05:56:07",8,"2016-03-17 05:42:14","2P",1
"145","20163317083303-679",8,"2016-03-17 06:09:31",29,"2016-03-17 05:56:07","2P",1
"146","20163317083303-679",29,"2016-03-17 06:56:33",29,"2016-03-17 06:09:31","2P",1
"147","20163317083303-679",29,"2016-03-17 07:09:54",8,"2016-03-17 06:56:33","2P",1
"148","20163317083303-679",8,"2016-03-17 07:23:45",30,"2016-03-17 07:09:54","2P",1
"149","20163317083303-679",30,"2016-03-17 07:24:54",26,"2016-03-17 07:23:45","2P",1
"150","20163317083303-679",26,"2016-03-17 07:25:56",25,"2016-03-17 07:24:54","2P",1
"151","20163317083303-679",25,"2016-03-17 07:33:55",22,"2016-03-17 07:25:56","2P",1
"152","20163317083303-679",22,"2016-03-17 07:35:48",24,"2016-03-17 07:33:55","2P",1
"153","20163317083303-679",24,"2016-03-17 07:56:50",24,"2016-03-17 07:35:48","2P",1
"154","20163317083303-679",24,"2016-03-17 07:58:37",22,"2016-03-17 07:56:50","2P",1
"155","20163317083303-679",22,"2016-03-17 08:11:48",15,"2016-03-17 07:58:37","2P",1
"156","20163317083303-679",15,"2016-03-17 08:13:28",14,"2016-03-17 08:11:48","2P",1
"157","20164705094758-115",6,"2016-03-05 06:57:19",5,"2016-03-05 06:47:58","2",1
"158","20164705094758-115",5,"2016-03-05 07:08:09",4,"2016-03-05 06:57:19","2",1
"159","20164705094758-115",4,"2016-03-05 07:11:09",3,"2016-03-05 07:08:09","2",1
"160","20164705094758-115",3,"2016-03-05 07:14:01",2,"2016-03-05 07:11:09","2",1
"161","20164705094758-115",2,"2016-03-05 07:16:28",1,"2016-03-05 07:14:01","2",1
"162","20164705094758-115",1,"2016-03-05 07:26:58",9,"2016-03-05 07:16:28","2",1
"163","20164705094758-115",9,"2016-03-05 07:33:35",8,"2016-03-05 07:26:58","2",1
"164","20164705094758-115",8,"2016-03-05 07:45:49",7,"2016-03-05 07:33:35","2",1
"165","20161029061031-458",0,"2016-03-29 03:30:01",27,"2016-03-29 03:10:31","1",1
"166","20150401070447-6",10,"2015-10-01 16:24:30",4,"2015-10-01 16:04:47","1",1
"167","20150401070447-6",4,"2015-10-01 16:27:41",3,"2015-10-01 16:24:30","1",1
"168","20150401070447-6",3,"2015-10-01 16:30:41",2,"2015-10-01 16:27:41","1",1
"169","20150401070447-6",2,"2015-10-01 16:33:15",1,"2015-10-01 16:30:41","1",1
"170","20150401070447-6",1,"2015-10-01 16:53:36",0,"2015-10-01 16:33:15","1",1
"171","20155418045421-624",0,"2015-07-18 14:10:03",8,"2015-07-18 13:54:21","1",1
"172","20155418045421-624",8,"2015-07-18 14:20:25",33,"2015-07-18 14:10:03","1",1
"173","20155418045421-624",33,"2015-07-25 12:50:45",33,"2015-07-18 14:20:25","1",1
"174","20155418045421-624",33,"2015-07-25 13:01:02",8,"2015-07-25 12:50:45","1",1
"175","20155418045421-624",8,"2015-07-25 13:08:30",9,"2015-07-25 13:01:02","1",1
"176","20155418045421-624",9,"2015-07-25 13:20:23",1,"2015-07-25 13:08:30","1",1
"177","20155418045421-624",1,"2015-07-25 13:23:09",2,"2015-07-25 13:20:23","1",1
"178","20155418045421-624",2,"2015-07-25 13:26:24",3,"2015-07-25 13:23:09","1",1
"179","20155418045421-624",3,"2015-07-25 13:29:48",4,"2015-07-25 13:26:24","1",1
"180","20155418045421-624",4,"2015-07-25 13:51:01",10,"2015-07-25 13:29:48","1",1
"181","20153915093925-624",0,"2015-08-15 06:53:16",8,"2015-08-15 06:39:25","1",1
"182","20153915093925-624",8,"2015-08-15 07:10:02",12,"2015-08-15 06:53:16","1",1
"183","20153915093925-624",12,"2015-08-15 07:10:11",12,"2015-08-15 07:10:02","1",1
"184","20153915093925-624",12,"2015-08-15 07:26:53",8,"2015-08-15 07:10:11","1",1
"185","20153915093925-624",8,"2015-08-15 07:40:48",0,"2015-08-15 07:26:53","1",1
"186","20153412063404-685",10,"2015-07-12 03:54:08",4,"2015-07-12 03:34:04","2",1
"187","20153412063404-685",4,"2015-07-12 03:57:23",3,"2015-07-12 03:54:08","2",1
"188","20153412063404-685",3,"2015-07-12 04:00:26",2,"2015-07-12 03:57:23","2",1
"189","20153412063404-685",2,"2015-07-12 04:03:04",1,"2015-07-12 04:00:26","2",1
"190","20153412063404-685",1,"2015-07-12 04:14:20",9,"2015-07-12 04:03:04","2",1
"191","20153412063404-685",9,"2015-07-12 04:21:26",8,"2015-07-12 04:14:20","2",1
"192","20153412063404-685",8,"2015-07-12 04:31:32",28,"2015-07-12 04:21:26","2",1
"193","20153412063404-685",28,"2015-07-13 14:22:27",28,"2015-07-12 04:31:32","2",1
"194","20153412063404-685",28,"2015-07-13 14:32:30",8,"2015-07-13 14:22:27","2",1
"195","20153412063404-685",8,"2015-07-13 14:47:24",0,"2015-07-13 14:32:30","2",1
"196","20152607012632-335",10,"2015-07-07 10:45:48",11,"2015-07-07 10:26:32","2",1
"197","20152607012632-335",11,"2015-07-07 10:45:56",11,"2015-07-07 10:45:48","2",1
"198","20152607012632-335",11,"2015-07-07 10:55:59",5,"2015-07-07 10:45:56","2",1
"199","20152607012632-335",5,"2015-07-07 11:07:20",4,"2015-07-07 10:55:59","2",1
"200","20152607012632-335",4,"2015-07-07 11:10:30",3,"2015-07-07 11:07:20","2",1
"201","20152607012632-335",3,"2015-07-07 11:13:29",2,"2015-07-07 11:10:30","2",1
"202","20152607012632-335",2,"2015-07-07 11:16:04",1,"2015-07-07 11:13:29","2",1
"203","20152607012632-335",1,"2015-07-07 11:36:19",0,"2015-07-07 11:16:04","2",1
"204","20150821050856-843",0,"2015-06-21 02:32:38",1,"2015-06-21 02:08:56","2",1
"205","20150821050856-843",1,"2015-06-21 02:35:39",2,"2015-06-21 02:32:38","2",1
"206","20150821050856-843",2,"2015-06-21 02:39:09",3,"2015-06-21 02:35:39","2",1
"207","20150821050856-843",3,"2015-06-21 02:42:51",4,"2015-06-21 02:39:09","2",1
"208","20150821050856-843",4,"2015-06-21 03:05:55",10,"2015-06-21 02:42:51","2",1
"209","20153805113822-592",27,"2015-09-05 20:51:26",9,"2015-09-05 20:38:22","1",1
"210","20153805113822-592",9,"2015-09-05 20:58:47",8,"2015-09-05 20:51:26","1",1
"211","20153805113822-592",8,"2015-09-05 21:12:23",7,"2015-09-05 20:58:47","1",1
"212","20153103053109-344",7,"2015-09-03 14:45:26",16,"2015-09-03 14:31:09","3",1
"213","20153103053109-344",16,"2015-09-11 12:22:44",16,"2015-09-03 14:45:26","3",1
"214","20153103053109-344",16,"2015-09-11 12:39:20",8,"2015-09-11 12:22:44","3",1
"215","20153103053109-344",8,"2015-09-11 12:45:47",9,"2015-09-11 12:39:20","3",1
"216","20153103053109-344",9,"2015-09-11 12:56:00",1,"2015-09-11 12:45:47","3",1
"217","20153103053109-344",1,"2015-09-11 12:58:23",2,"2015-09-11 12:56:00","3",1
"218","20153103053109-344",2,"2015-09-11 13:01:10",3,"2015-09-11 12:58:23","3",1
"219","20153103053109-344",3,"2015-09-11 13:04:05",4,"2015-09-11 13:01:10","3",1
"220","20153103053109-344",4,"2015-09-11 13:22:21",10,"2015-09-11 13:04:05","3",1
"221","20165028095046-832",10,"2016-04-28 07:09:21",4,"2016-04-28 06:50:46","4",1
"222","20165028095046-832",4,"2016-04-28 07:12:21",3,"2016-04-28 07:09:21","4",1
"223","20165028095046-832",3,"2016-04-28 07:15:10",2,"2016-04-28 07:12:21","4",1
"224","20165028095046-832",2,"2016-04-28 07:17:37",1,"2016-04-28 07:15:10","4",1
"225","20165028095046-832",1,"2016-04-28 07:19:03",27,"2016-04-28 07:17:37","4",1
"226","20155814035858-266",6,"2015-09-14 01:07:51",5,"2015-09-14 00:58:58","1",1
"227","20155814035858-266",5,"2015-09-14 01:18:05",4,"2015-09-14 01:07:51","1",1
"228","20155814035858-266",4,"2015-09-14 01:20:56",3,"2015-09-14 01:18:05","1",1
"229","20155814035858-266",3,"2015-09-14 01:23:39",2,"2015-09-14 01:20:56","1",1
"230","20155814035858-266",2,"2015-09-14 01:25:59",1,"2015-09-14 01:23:39","1",1
"231","20155814035858-266",1,"2015-09-14 01:27:21",27,"2015-09-14 01:25:59","1",1
"232","20151108091145-870",27,"2015-06-08 06:31:15",0,"2015-06-08 06:11:45","1",1
"233","20155018105000-729",6,"2015-08-18 07:59:56",5,"2015-08-18 07:50:00","2",1
"234","20155018105000-729",5,"2015-08-18 08:11:26",4,"2015-08-18 07:59:56","2",1
"235","20155018105000-729",4,"2015-08-18 08:14:39",3,"2015-08-18 08:11:26","2",1
"236","20155018105000-729",3,"2015-08-18 08:17:41",2,"2015-08-18 08:14:39","2",1
"237","20155018105000-729",2,"2015-08-18 08:20:18",1,"2015-08-18 08:17:41","2",1
"238","20155018105000-729",1,"2015-08-18 08:31:27",9,"2015-08-18 08:20:18","2",1
"239","20155018105000-729",9,"2015-08-18 08:38:28",8,"2015-08-18 08:31:27","2",1
"240","20155018105000-729",8,"2015-08-18 08:48:14",33,"2015-08-18 08:38:28","2",1
"241","20155018105000-729",33,"2015-08-21 17:09:02",33,"2015-08-18 08:48:14","2",1
"242","20155018105000-729",33,"2015-08-21 17:18:41",8,"2015-08-21 17:09:02","2",1
"243","20155018105000-729",8,"2015-08-21 17:25:43",9,"2015-08-21 17:18:41","2",1
"244","20155018105000-729",9,"2015-08-21 17:38:15",27,"2015-08-21 17:25:43","2",1
"245","20150624080656-470",10,"2015-05-24 05:12:11",20,"2015-05-24 05:06:56","1",1
"246","20150624080656-470",20,"2015-05-24 05:13:03",19,"2015-05-24 05:12:11","1",1
"247","20150624080656-470",19,"2015-06-03 05:20:44",19,"2015-05-24 05:13:03","1",1
"248","20150624080656-470",19,"2015-06-03 05:32:17",5,"2015-06-03 05:20:44","1",1
"249","20150624080656-470",5,"2015-06-03 05:41:12",6,"2015-06-03 05:32:17","1",1
"250","20154516064507-862",10,"2015-06-16 04:03:05",4,"2015-06-16 03:45:07","2",1
"251","20154516064507-862",4,"2015-06-16 04:05:59",3,"2015-06-16 04:03:05","2",1
"252","20154516064507-862",3,"2015-06-16 04:08:44",2,"2015-06-16 04:05:59","2",1
"253","20154516064507-862",2,"2015-06-16 04:11:05",1,"2015-06-16 04:08:44","2",1
"254","20154516064507-862",1,"2015-06-16 04:29:38",0,"2015-06-16 04:11:05","2",1
"255","20150123100144-22",10,"2015-08-23 07:23:52",4,"2015-08-23 07:01:44","1",1
"256","20150123100144-22",4,"2015-08-23 07:27:25",3,"2015-08-23 07:23:52","1",1
"257","20150123100144-22",3,"2015-08-23 07:30:47",2,"2015-08-23 07:27:25","1",1
"258","20150123100144-22",2,"2015-08-23 07:33:42",1,"2015-08-23 07:30:47","1",1
"259","20150123100144-22",1,"2015-08-23 07:46:05",9,"2015-08-23 07:33:42","1",1
"260","20150123100144-22",9,"2015-08-23 07:53:52",8,"2015-08-23 07:46:05","1",1
"261","20150123100144-22",8,"2015-08-23 08:04:43",33,"2015-08-23 07:53:52","1",1
"262","20150123100144-22",33,"2015-08-23 08:04:56",33,"2015-08-23 08:04:43","1",1
"263","20150123100144-22",33,"2015-08-23 08:15:40",8,"2015-08-23 08:04:56","1",1
"264","20150123100144-22",8,"2015-08-23 08:32:07",0,"2015-08-23 08:15:40","1",1
"265","20154124054158-779",14,"2015-11-24 14:43:20",15,"2015-11-24 14:41:58","2P",1
"266","20154124054158-779",15,"2015-11-24 14:47:49",25,"2015-11-24 14:43:20","2P",1
"267","20154124054158-779",25,"2015-11-24 14:48:43",26,"2015-11-24 14:47:49","2P",1
"268","20154124054158-779",26,"2015-11-24 14:49:40",30,"2015-11-24 14:48:43","2P",1
"269","20154124054158-779",30,"2015-11-24 15:01:17",8,"2015-11-24 14:49:40","2P",1
"270","20154124054158-779",8,"2015-11-24 15:10:16",28,"2015-11-24 15:01:17","2P",1
"271","20154124054158-779",28,"2015-11-24 15:21:18",28,"2015-11-24 15:10:16","2P",1
"272","20154124054158-779",28,"2015-11-24 15:30:14",8,"2015-11-24 15:21:18","2P",1
"273","20154124054158-779",8,"2015-11-24 15:41:50",30,"2015-11-24 15:30:14","2P",1
"274","20154124054158-779",30,"2015-11-24 15:42:48",26,"2015-11-24 15:41:50","2P",1
"275","20154124054158-779",26,"2015-11-24 15:56:50",26,"2015-11-24 15:42:48","2P",1
"276","20154124054158-779",26,"2015-11-24 15:57:42",25,"2015-11-24 15:56:50","2P",1
"277","20154124054158-779",25,"2015-11-24 16:02:11",15,"2015-11-24 15:57:42","2P",1
"278","20154124054158-779",15,"2015-11-24 16:03:35",14,"2015-11-24 16:02:11","2P",1
"279","20160027110053-825",7,"2016-02-27 20:15:19",8,"2016-02-27 20:00:53","4",1
"280","20160027110053-825",8,"2016-02-27 20:31:50",0,"2016-02-27 20:15:19","4",1
"281","20153921093922-779",0,"2015-06-21 06:54:33",8,"2015-06-21 06:39:22","2",1
"282","20153921093922-779",8,"2015-06-21 07:04:52",28,"2015-06-21 06:54:33","2",1
"283","20153921093922-779",28,"2015-06-25 15:23:02",28,"2015-06-21 07:04:52","2",1
"284","20153921093922-779",28,"2015-06-25 15:33:18",8,"2015-06-25 15:23:02","2",1
"285","20153921093922-779",8,"2015-06-25 15:40:30",9,"2015-06-25 15:33:18","2",1
"286","20153921093922-779",9,"2015-06-25 15:52:00",1,"2015-06-25 15:40:30","2",1
"287","20153921093922-779",1,"2015-06-25 15:54:42",2,"2015-06-25 15:52:00","2",1
"288","20153921093922-779",2,"2015-06-25 15:57:50",3,"2015-06-25 15:54:42","2",1
"289","20153921093922-779",3,"2015-06-25 16:01:07",4,"2015-06-25 15:57:50","2",1
"290","20153921093922-779",4,"2015-06-25 16:21:40",10,"2015-06-25 16:01:07","2",1
"291","20155901125940-121",0,"2015-09-01 10:19:05",1,"2015-09-01 09:59:40","1",1
"292","20155901125940-121",1,"2015-09-01 10:21:33",2,"2015-09-01 10:19:05","1",1
"293","20155901125940-121",2,"2015-09-01 10:24:26",3,"2015-09-01 10:21:33","1",1
"294","20155901125940-121",3,"2015-09-01 10:27:29",4,"2015-09-01 10:24:26","1",1
"295","20155901125940-121",4,"2015-09-01 10:38:23",5,"2015-09-01 10:27:29","1",1
